name,"12 MacBook (Mid 2017, Gold)CPE","12 MacBook (Mid 2017, Silver)CPE",12.3 32GB Multi-Touch 2-in-1 Chromebook PlusCPE,"13.3 MacBook Air (Mid 2017, Silver)CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Silver)CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)CPE",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703XCPE,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""CPE",Acer 15.6 Chromebook CB5-571-C4G4CPE,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""CPE","Apple 13.3 MacBook Air ( Silver)""CPE","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""CPE","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""CPE","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""CPE","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""CPE","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""CPE","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""CPE","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""CPE","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""CPE","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""CPE","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""CPE","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""CPE","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""CPE","Details About Razer Blade Laptop 14 Full Hd (i77700hq""CPE","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""CPE","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""CPE","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""CPE","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""CPE","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1CPE","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""CPE","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""CPE","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""CPE","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""CPE","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black""CPE"
const,0.01,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.0,0.02,0.01,-0.01,0.02,0.03,0.01,0.02,-0.01,0.01,0.02,0.01,0.03,-0.0,0.01,0.02,0.03,0.02,0.01
"12 MacBook (Mid 2017, Gold)",-7.27,14.41,-3.25,-7.83,2.72,3.8,8.06,1.25,3.29,11.75,7.72,8.32,19.13,3.34,2.17,4.35,7.82,-8.18,15.02,-4.74,9.85,4.39,3.34,17.23,1.57,-7.44,1.81,-0.48,13.45,8.01,1.04,0.25,-4.28,10.97,-3.03,9.61,-3.49,5.66,14.81
"12 MacBook (Mid 2017, Silver)",-9.77,-9.71,-9.75,-15.98,-7.41,-7.01,-9.85,-6.89,-5.33,-5.29,-11.19,-10.48,-7.26,-7.52,-8.11,-5.05,-8.76,-12.71,-8.94,-11.64,-1.79,-9.71,-7.1,-9.09,-6.27,-12.53,-8.44,-9.52,-1.11,-8.35,-6.61,-8.15,-11.28,-2.94,-9.4,-10.44,-10.24,-10.72,-7.6
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,-27.7,-24.44,-21.0,-30.39,-18.8,-13.76,-22.6,-9.71,-7.21,-13.51,-26.63,-25.17,-22.26,-10.03,-14.33,-6.96,-16.1,-22.11,-20.73,-17.28,-0.45,-17.23,-11.38,-27.57,-11.07,-22.91,-13.01,-16.03,0.74,-18.62,-10.44,-18.17,-14.83,-4.7,-21.3,-17.13,-10.36,-24.58,-12.44
"13.3 MacBook Air (Mid 2017, Silver)",1.13,3.45,0.46,3.45,-1.78,-1.98,8.73,-2.82,-0.78,-0.18,1.68,1.84,-1.15,-4.7,-2.86,-2.61,-3.84,2.09,-4.88,-2.33,-2.69,1.67,0.73,-7.21,-1.46,3.92,-0.36,-0.36,0.01,-1.57,-0.03,-1.5,-4.7,-3.33,-1.36,-1.67,-3.98,-0.48,-1.14
"15.4 MacBook Pro with Touch Bar (Late 2016, Silver)",0.88,-0.94,-7.08,1.57,-17.44,-16.0,-1.57,-17.86,-12.22,-5.48,-0.34,0.65,0.82,-20.99,-11.84,-16.54,-13.37,-2.78,-2.67,-9.4,-11.86,-14.93,-9.5,2.51,-7.62,-7.83,-9.16,-11.93,-5.16,-9.4,-18.8,-8.52,-9.4,-6.07,-11.28,-14.83,-16.63,-7.35,-8.54
"15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",4.89,10.97,1.39,-0.94,9.19,2.46,2.01,4.39,1.41,6.85,6.38,4.11,4.12,6.58,6.45,2.44,6.43,-2.78,0.74,-0.08,10.07,4.39,-4.39,4.39,-3.86,1.76,-2.77,-3.25,-2.4,9.22,5.74,6.27,-2.09,4.5,5.85,7.52,0.84,3.25,2.18
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,-14.29,-17.23,-9.28,-28.51,-2.61,-8.73,-19.92,4.7,0.1,-13.51,-21.48,-19.66,-14.18,1.88,2.17,4.18,-5.39,-9.22,-2.76,-6.62,0.9,-19.32,-7.0,-26.0,-3.24,-22.13,-5.18,-6.63,-1.11,-9.57,-2.09,-6.89,-2.4,-3.72,-6.27,-11.28,3.49,-9.16,-1.71
"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",-19.3,-16.92,-18.33,-36.97,-23.6,-32.75,-30.88,-21.62,-6.89,-17.62,-24.5,-23.34,-14.68,-31.33,-17.97,-10.44,-29.71,-50.48,-18.06,-47.44,-4.7,-54.93,-23.6,-14.41,-19.63,-54.24,-21.33,-34.82,10.32,-32.72,-39.16,-4.14,-50.02,4.5,-21.51,-54.31,-60.85,-50.97,-32.85
Acer 15.6 Chromebook CB5-571-C4G4,-0.63,-5.01,-4.99,-8.77,-3.86,-8.28,0.67,-3.45,-6.89,-5.68,-7.16,-5.62,-2.97,-8.25,-2.63,-6.79,-8.32,7.31,-1.29,-5.01,-3.8,-8.98,-3.66,-20.68,-3.55,0.39,-5.66,-6.03,-1.2,-4.87,0.87,-9.02,-7.73,-11.75,-5.85,-6.47,-3.01,2.29,3.89
